X,Y,Z,Label
0,0.0,1000.0,CL
1,0.113,1000.203,CL
2,0.226,1000.436,CL
3,0.338,1000.684,CL
4,0.45,1000.933,CL
5,0.56,1001.176,CL
6,0.67,1001.406,CL
7,0.778,1001.618,CL
8,0.884,1001.812,CL
9,0.989,1001.986,CL
10,1.092,1002.14,CL
11,1.192,1002.223,CL
12,1.291,1002.279,CL
13,1.386,1002.326,CL
14,1.479,1002.364,CL
15,1.568,1002.392,CL
16,1.655,1002.41,CL
17,1.738,1002.419,CL
18,1.817,1002.417,CL
19,1.893,1002.405,CL
20,1.965,1002.384,CL
21,2.032,1002.353,CL
22,2.096,1002.312,CL
23,2.156,1002.263,CL
24,2.211,1002.205,CL
25,2.261,1002.099,CL
26,2.307,1001.94,CL
27,2.348,1001.761,CL
28,2.385,1001.562,CL
29,2.416,1001.345,CL
30,2.443,1001.112,CL
31,2.464,1000.868,CL
32,2.481,1000.618,CL
33,2.492,1000.374,CL
34,2.499,1000.148,CL
35,2.5,999.957,CL
36,2.496,999.813,CL
37,2.487,999.717,CL
38,2.473,999.665,CL
39,2.454,999.652,CL
40,2.43,999.676,CL
41,2.401,999.732,CL
42,2.367,999.817,CL
43,2.328,999.928,CL
44,2.285,1000.063,CL
45,2.236,1000.219,CL
46,2.184,1000.158,CL
47,2.126,1000.104,CL
48,2.065,1000.059,CL
49,1.999,1000.023,CL
50,1.929,999.997,CL
51,1.855,999.98,CL
52,1.778,999.974,CL
53,1.696,999.977,CL
54,1.612,999.99,CL
55,1.524,1000.014,CL
56,1.433,1000.046,CL
57,1.339,1000.089,CL
58,1.242,1000.14,CL
59,1.143,1000.2,CL
60,1.041,1000.096,CL
61,0.937,999.955,CL
62,0.831,999.838,CL
63,0.724,999.746,CL
64,0.615,999.682,CL
65,0.505,999.651,CL
66,0.394,999.654,CL
67,0.282,999.697,CL
68,0.169,999.783,CL
69,0.056,999.916,CL
70,-0.056,1000.097,CL
71,-0.169,1000.317,CL
72,-0.282,1000.559,CL
73,-0.394,1000.809,CL
74,-0.505,1001.056,CL
75,-0.615,1001.293,CL
76,-0.724,1001.514,CL
77,-0.831,1001.718,CL
78,-0.937,1001.901,CL
79,-1.041,1002.065,CL
80,-1.143,1002.192,CL
81,-1.242,1002.252,CL
82,-1.339,1002.304,CL
83,-1.433,1002.346,CL
84,-1.524,1002.379,CL
85,-1.612,1002.402,CL
86,-1.696,1002.416,CL
87,-1.778,1002.419,CL
88,-1.855,1002.412,CL
89,-1.929,1002.396,CL
90,-1.999,1002.37,CL
91,-2.065,1002.334,CL
92,-2.126,1002.289,CL
93,-2.184,1002.235,CL
94,-2.236,1002.172,CL
95,-2.285,1002.022,CL
96,-2.328,1001.853,CL
97,-2.367,1001.664,CL
98,-2.401,1001.456,CL
